Date,Average temperature (°F)
2009-01-01,37.8
2009-01-02,43.2
2009-01-03,25.7
2009-01-04,9.3
2009-01-05,23.5
2009-01-06,24.8
2009-01-07,34.2
2009-01-08,42.1
2009-01-09,30.3
2009-01-10,26.2
2009-01-11,30.1
2009-01-12,23.4
2009-01-13,32.4
2009-01-14,33.1
2009-01-15,35.7
2009-01-16,41.6
2009-01-17,40.9
2009-01-18,43.4
2009-01-19,46.6
2009-01-20,40.0
2009-01-21,48.2
2009-01-22,44.8
2009-01-23,24.8
2009-01-24,35.4
2009-01-25,21.0
2009-01-26,2.8
2009-01-27,7.9
2009-01-28,21.8
2009-01-29,22.5
2009-01-30,36.0
2009-01-31,38.3
2009-02-01,30.8
2009-02-02,33.0
2009-02-03,38.6
2009-02-04,43.3
2009-02-05,45.6
2009-02-06,33.4
2009-02-07,34.2
2009-02-08,31.5
2009-02-09,31.2
2009-02-10,25.8
2009-02-11,23.2
2009-02-12,25.9
2009-02-13,19.9
2009-02-14,20.5
2009-02-15,27.8
2009-02-16,38.9
2009-02-17,32.5
2009-02-18,28.3
2009-02-19,27.8
2009-02-20,27.9
2009-02-21,34.7
2009-02-22,44.0
2009-02-23,44.7
2009-02-24,44.4
2009-02-25,45.8
2009-02-26,35.2
2009-02-27,26.7
2009-02-28,29.1
2009-03-01,40.6
2009-03-02,54.0
2009-03-03,48.7
2009-03-04,49.1
2009-03-05,38.5
2009-03-06,33.1
2009-03-07,27.8
2009-03-08,36.9
2009-03-09,34.1
2009-03-10,19.5
2009-03-11,29.2
2009-03-12,14.7
2009-03-16,46.3
2009-03-17,48.1
2009-03-18,42.3
2009-03-19,40.2
2009-03-20,41.4
2009-03-21,43.3
2009-03-22,48.7
2009-03-23,35.8
2009-03-24,30.7
2009-03-25,28.1
2009-03-26,16.8
2009-03-27,21.1
2009-03-28,33.1
2009-03-29,40.7
2009-03-30,23.3
2009-03-31,25.8
2009-04-01,24.8
2009-04-02,29.1
2009-04-03,36.5
2009-04-04,25.7
2009-04-05,22.0
2009-04-06,34.3
2009-04-07,45.3
2009-04-08,49.6
2009-04-09,37.4
2009-04-10,35.9
2009-04-11,35.0
2009-04-12,34.9
2009-04-13,42.7
2009-04-14,41.9
2009-04-15,43.4
2009-04-16,32.1
2009-04-17,30.8
2009-04-18,33.5
2009-04-19,37.4
2009-04-20,47.3
2009-04-21,51.7
2009-04-22,47.0
2009-04-23,52.1
2009-04-24,53.1
2009-04-25,34.7
2009-04-26,37.1
2009-04-27,31.2
2009-04-28,43.5
2009-04-29,52.7
2009-04-30,42.9
2009-05-01,37.2
2009-05-02,37.7
2009-05-03,42.1
2009-05-04,46.3
2009-05-05,48.9
2009-05-06,54.4
2009-05-07,57.3
2009-05-08,47.1
2009-05-09,42.7
2009-05-10,38.0
2009-05-11,51.1
2009-05-12,57.8
2009-05-13,51.6
2009-05-14,50.8
2009-05-15,52.6
2009-05-16,47.9
2009-05-17,54.2
2009-05-18,60.4
2009-05-19,61.9
2009-05-20,62.5
2009-05-21,50.6
2009-05-22,53.7
2009-05-23,48.9
2009-05-24,50.7
2009-05-25,50.1
2009-05-26,46.5
2009-05-27,48.8
2009-05-28,49.7
2009-05-29,53.1
2009-05-30,53.9
2009-05-31,56.3
2009-06-01,50.6
2009-06-02,42.2
2009-06-03,48.3
2009-06-04,57.1
2009-06-05,56.5
2009-06-06,59.0
2009-06-07,48.4
2009-06-08,47.8
2009-06-09,50.9
2009-06-10,51.3
2009-06-11,48.9
2009-06-12,49.3
2009-06-13,55.4
2009-06-14,55.1
2009-06-15,49.9
2009-06-16,51.3
2009-06-17,57.3
2009-06-18,58.7
2009-06-19,58.1
2009-06-20,54.5
2009-06-21,61.4
2009-06-22,61.2
2009-06-23,60.0
2009-06-24,62.8
2009-06-25,61.0
2009-06-26,61.1
2009-06-27,63.9
2009-06-28,62.0
2009-06-29,62.5
2009-06-30,63.0
2009-07-01,62.0
2009-07-02,58.8
2009-07-03,60.9
2009-07-04,56.2
2009-07-05,55.7
2009-07-06,59.2
2009-07-07,62.5
2009-07-08,65.5
2009-07-09,60.4
2009-07-10,61.8
2009-07-11,66.1
2009-07-12,67.1
2009-07-13,63.5
2009-07-14,68.1
2009-07-15,64.9
2009-07-16,64.0
2009-07-17,63.0
2009-07-18,61.2
2009-07-19,66.4
2009-07-20,70.0
2009-07-21,59.5
2009-07-22,59.9
2009-07-23,63.5
2009-07-24,65.5
2009-07-25,59.3
2009-07-26,60.1
2009-07-27,56.9
2009-07-28,53.6
2009-07-29,49.8
2009-07-30,48.1
2009-07-31,55.0
2009-08-01,57.5
2009-08-02,65.3
2009-08-03,64.4
2009-08-04,61.9
2009-08-05,62.0
2009-08-06,61.2
2009-08-07,65.2
2009-08-08,63.6
2009-08-09,58.0
2009-08-10,60.5
2009-08-11,61.1
2009-08-12,64.5
2009-08-13,63.1
2009-08-14,62.3
2009-08-15,61.2
2009-08-16,54.8
2009-08-17,51.7
2009-08-18,56.3
2009-08-19,60.1
2009-08-20,60.6
2009-08-21,61.1
2009-08-22,66.2
2009-08-23,68.0
2009-08-24,65.6
2009-08-25,56.4
2009-08-26,54.3
2009-08-27,59.2
2009-08-28,58.6
2009-08-29,56.1
2009-08-30,54.1
2009-08-31,60.1
2009-09-01,63.9
2009-09-02,64.0
2009-09-03,63.6
2009-09-04,56.8
2009-09-05,62.2
2009-09-06,62.5
2009-09-07,64.6
2009-09-08,68.9
2009-09-09,62.3
2009-09-10,62.1
2009-09-11,56.8
2009-09-12,42.1
2009-09-13,50.3
2009-09-14,59.7
2009-09-15,57.9
2009-09-16,53.0
2009-09-17,53.3
2009-09-18,52.4
2009-09-19,52.1
2009-09-20,54.0
2009-09-21,40.0
2009-09-22,39.4
2009-09-23,42.5
2009-09-24,40.4
2009-09-25,45.8
2009-09-26,62.4
2009-09-27,61.3
2009-09-28,44.8
2009-09-29,59.1
2009-09-30,52.2
2009-10-01,35.0
2009-10-02,41.6
2009-10-03,38.6
2009-10-04,36.3
2009-10-05,38.7
2009-10-06,41.3
2009-10-07,49.9
2009-10-08,29.2
2009-10-09,31.3
2009-10-10,17.4
2009-10-11,29.0
2009-10-12,40.4
2009-10-13,40.8
2009-10-14,49.0
2009-10-15,46.8
2009-10-16,44.7
2009-10-17,41.2
2009-10-18,57.9
2009-10-19,52.3
2009-10-20,37.7
2009-10-21,32.0
2009-10-22,35.8
2009-10-23,42.4
2009-10-24,44.1
2009-10-25,30.2
2009-10-26,32.7
2009-10-27,39.3
2009-10-28,22.2
2009-10-29,19.5
2009-10-30,30.7
2009-10-31,44.0
2009-11-01,47.3
2009-11-02,38.8
2009-11-03,48.1
2009-11-04,46.0
2009-11-05,56.1
